Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
Aceh,1993,1329536.00,323589.00,1627.00,82.00,26.06
Aceh,1994,1299699.00,329041.00,1521.00,82.12,26.92
Aceh,1995,1382905.00,339253.00,1476.00,82.72,26.27
Aceh,1996,1419128.00,348223.00,1557.00,83.00,26.08
Aceh,1997,1368074.00,337561.00,1339.00,82.46,26.31
Aceh,1998,1404580.00,365892.00,1465.00,82.60,26.84
Aceh,1999,1478712.00,359817.00,1778.00,82.79,26.14
Aceh,2000,1486909.00,336765.00,1974.70,90.60,27.10
Aceh,2001,1547499.00,295212.00,1688.70,69.48,28.90
Aceh,2002,1314165.00,315131.00,1296.80,68.75,29.20
Aceh,2003,1246614.00,367636.00,1507.20,70.66,29.40
Aceh,2004,1350748.00,370966.00,1097.00,80.84,29.40
Aceh,2005,1411650.00,337893.00,710.50,79.50,26.80
Aceh,2006,1552078.00,320789.00,506.50,80.80,26.73
Aceh,2007,1556858.00,360717.00,1414.00,81.50,26.38
Aceh,2008,1402287.00,329109.00,1270.40,78.50,27.00
Aceh,2009,1533369.00,359375.00,1577.00,78.70,26.90
Aceh,2010,1788738.00,352281.00,1986.00,81.40,27.10
Aceh,2011,1772962.00,380686.00,1268.00,79.40,27.10
Aceh,2012,1582393.00,387803.00,1098.00,79.60,26.90
Aceh,2013,2331046.00,419183.00,1623.60,80.70,27.00
Aceh,2014,1820062.00,376137.00,2264.40,78.30,27.10
Aceh,2015,1956940.00,461060.00,1575.00,80.00,27.10
Aceh,2016,2180754.00,293067.00,1096.00,83.32,27.12
Aceh,2017,2478922.00,294483.00,1905.90,85.57,26.51
Aceh,2018,1751996.94,329515.78,1427.80,83.98,26.48
Aceh,2019,1714437.60,310012.46,1931.40,83.90,26.65
Aceh,2020,1861567.10,317869.41,1619.20,80.82,25.41
Sumatera Utara,1993,2918152.00,754569.00,2549.40,83.80,26.45
Sumatera Utara,1994,3079960.00,792534.00,2166.50,83.79,26.40
Sumatera Utara,1995,3134533.00,795183.00,2917.10,81.68,26.58
Sumatera Utara,1996,3136760.00,790051.00,2326.50,81.31,26.33
Sumatera Utara,1997,3212208.00,797545.00,1865.00,81.81,26.40
Sumatera Utara,1998,3321049.00,823749.00,2496.90,83.53,27.16
Sumatera Utara,1999,3451430.00,838626.00,3087.30,84.56,26.45
Sumatera Utara,2000,3514253.00,847610.00,1289.50,82.94,27.70
Sumatera Utara,2001,3291515.00,801948.00,3595.30,72.78,28.03
Sumatera Utara,2002,3153305.00,765161.00,1944.90,72.31,28.45
Sumatera Utara,2003,3403075.00,825188.00,3140.20,72.08,29.59
Sumatera Utara,2004,3418782.00,826091.00,2406.90,80.79,29.27
Sumatera Utara,2005,3447394.00,822073.00,776.70,83.80,27.00
Sumatera Utara,2006,3007636.00,705023.00,222.50,81.00,27.80
Sumatera Utara,2007,3265834.00,750232.00,2513.00,82.00,27.00
Sumatera Utara,2008,3340794.00,748540.00,2442.00,81.40,26.90
Sumatera Utara,2009,3527899.00,768407.00,2184.00,86.00,27.10
Sumatera Utara,2010,3582302.00,754674.00,1903.30,78.55,27.18
Sumatera Utara,2011,3607403.00,757547.00,2042.00,79.00,27.20
Sumatera Utara,2012,3715514.00,765099.00,3175.00,76.00,27.30
Sumatera Utara,2013,3727249.00,742968.00,2627.00,78.67,28.80
Sumatera Utara,2014,3631039.00,717318.00,2148.00,79.00,27.90
Sumatera Utara,2015,4044829.00,781769.00,975.90,86.90,27.40
Sumatera Utara,2016,4387035.90,423029.00,2384.00,82.00,27.65
Sumatera Utara,2017,4669777.50,415675.00,3190.00,84.00,27.50
Sumatera Utara,2018,2108284.72,408176.45,2431.00,80.00,26.41
Sumatera Utara,2019,2078901.59,413141.24,1401.60,86.53,27.03
Sumatera Utara,2020,2076280.01,388591.22,1648.30,83.76,25.79
Sumatera Barat,1993,1806424.00,394412.00,5110.00,89.77,24.70
Sumatera Barat,1994,1747543.00,382740.00,4869.50,75.22,24.49
Sumatera Barat,1995,1829192.00,400627.00,5022.00,87.68,24.82
Sumatera Barat,1996,1971180.00,430343.00,3866.00,87.29,24.52
Sumatera Barat,1997,1787719.00,395728.00,2945.10,87.97,24.69
Sumatera Barat,1998,1807622.00,412810.00,5522.00,87.39,25.04
Sumatera Barat,1999,1897678.00,432254.00,4327.50,80.89,22.48
Sumatera Barat,2000,1759059.00,396919.00,3040.60,86.01,25.86
Sumatera Barat,2001,1668955.00,376710.00,2811.00,71.08,28.17
Sumatera Barat,2002,1875834.00,424253.00,4241.20,71.28,28.19
Sumatera Barat,2003,1823739.00,411860.00,4927.20,71.91,29.17
Sumatera Barat,2004,1875188.00,422582.00,4584.20,78.50,29.02
Sumatera Barat,2005,1907390.00,426950.00,1533.60,78.00,25.90
Sumatera Barat,2006,1889489.00,417846.00,776.00,79.00,26.05
Sumatera Barat,2007,1938120.00,423655.00,4329.00,85.30,25.70
Sumatera Barat,2008,1965634.00,421902.00,2552.50,86.20,25.40
Sumatera Barat,2009,2105790.00,439542.00,4691.00,86.20,25.50
Sumatera Barat,2010,2211248.00,460497.00,5228.00,87.20,25.80
Sumatera Barat,2011,2279602.00,461709.00,4959.50,54.20,26.00
Sumatera Barat,2012,2368390.00,476422.00,4339.00,87.00,25.20
Sumatera Barat,2013,2430384.00,487820.00,4627.90,86.91,25.10
Sumatera Barat,2014,2519020.00,503198.00,2838.40,85.35,25.70
Sumatera Barat,2015,2550609.00,507545.00,3548.00,84.00,26.50
Sumatera Barat,2016,2487929.00,222482.00,4205.20,76.49,23.26
Sumatera Barat,2017,2810425.00,222021.00,4553.00,75.11,22.19
Sumatera Barat,2018,1483076.48,313050.82,327.33,82.71,26.91
Sumatera Barat,2019,1482996.01,311671.23,4757.50,87.73,25.61
Sumatera Barat,2020,1450839.74,295664.47,4072.70,85.22,26.26
Riau,1993,436297.00,146133.00,2738.40,86.37,26.00
Riau,1994,445361.00,146177.00,1991.30,84.90,26.10
Riau,1995,458756.00,152204.00,3099.90,85.02,26.17
Riau,1996,461905.00,150354.00,2259.50,84.26,25.94
Riau,1997,416135.00,137953.00,1510.40,83.82,26.26
Riau,1998,370124.00,126280.00,2233.00,84.26,26.73
Riau,1999,461630.00,155683.00,2045.30,84.59,26.08
Riau,2000,431351.00,141640.00,2478.20,84.60,25.98
Riau,2001,413391.00,132507.00,2441.70,70.79,29.05
Riau,2002,396644.00,129025.00,3123.80,71.73,28.20
Riau,2003,414237.00,132887.00,3822.80,72.92,29.64
Riau,2004,454186.00,145239.00,2540.10,83.70,29.85
Riau,2005,424095.00,134418.00,1996.30,83.93,26.58
Riau,2006,42938.00,136177.00,537.60,79.60,27.70
Riau,2007,490087.00,147167.00,3216.30,85.30,27.10
Riau,2008,494260.00,147796.00,3026.20,80.20,27.40
Riau,2009,531429.00,149423.00,3390.00,76.20,27.70
Riau,2010,574864.00,156088.00,3390.00,76.20,27.70
