id,calories,proteins,fat,carbohydrate,name,image
1,280,9.2,28.4,0,Abon,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg
2,513,23.7,37,21.3,Abon haruwan,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg
3,0,0,0.2,0,Agar-agar,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg
4,45,1.1,0.4,10.8,Akar tonjong segar,https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg
5,37,4.4,0.5,3.8,Aletoge segar,https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg
6,85,0.9,6.5,7.7,Alpukat segar,https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg
7,96,3.7,0.6,19.1,Ampas kacang hijau,https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg
8,414,26.6,18.3,41.3,Ampas Tahu,https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg
9,75,4.1,2.1,10.7,Ampas tahu kukus,https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg
10,67,5,2.1,8.1,Ampas tahu mentah,https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg
11,184,18.8,14,0,Anak sapi daging gemuk segar,https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png
12,174,19.6,10,0,Anak sapi daging kurus segar,https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg
13,190,19.1,12,0,Anak sapi daging sedang segar,https://koran-jakarta.com/images/article/tips-memilih-daging-sapi-segar-dan-berkualitas-baik-untuk-dikonsumsi-210409135933.jpg
14,99,4.6,1,18,Andaliman segar,https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218
15,25,1.6,0.2,5.3,Andewi,https://www.satuharapan.com/uploads/cache/news_77440_1518185146.jpg
16,30,0.5,0.2,6.8,Anggur hutan segar,https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9
17,354,16.4,31.5,0,Angsa,https://cdn.idntimes.com/content-images/community/2020/06/images-11-7778c46373d99fb101fe76ba287b7cca.jpeg
18,126,3.4,7.9,10.3,Anyang sayur,https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg
19,58,0.3,0.4,14.9,Apel,https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg
20,57,0.5,0.4,12.8,Apel malang segar,https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg
21,37,0.8,0.5,8.3,Arbei,https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg
22,113,0.9,7.2,11.2,Ares sayur,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg
23,102,1,0.2,24.1,Arrowroot segar,https://1.bp.blogspot.com/-frPXLhHsX1o/YGH-vVXAdtI/AAAAAAAAAQc/rFFQBIqzF-sEPYUiGLOUyb-KetyM7haWACLcBGAsYHQ/s2048/IMG20210227100704.jpg
24,277,2.4,25,10.7,Arwan sirsir,https://scontent.fcgk35-1.fna.fbcdn.net/v/t1.6435-9/121695429_676597869941401_1458702638921645964_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=__IwAVKho7AAX9vwknv&_nc_ht=scontent.fcgk35-1.fna&oh=00_AfBzshz2zrHYSwZvSOBel1XuorFB4ySKktNdgOj7dB8Jng&oe=649DFFD5
25,75,0.2,1.1,16.1,Asam kandis segar,https://assets.ladiestory.id/gallery/16768092331084058551-asam-kandis.jpg
26,239,2.8,0.6,62.5,Asam masak di pohon,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/8/26/6b6fe8d2-91ea-40a2-bd1d-53a147b957c1.png
27,135,0.8,0.4,32.1,Asam payak segar,https://nilaigizi.com/assets/images/produk/produk_1537342320.jpg
28,261,0.9,1.6,63.3,Asan kandis kering,https://nilaigizi.com/assets/images/produk/produk_1537342200.jpg
29,98,3.9,2.6,14.8,Asinan Bogor sayuran,https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg
30,302,18.2,25,0,Ayam,https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg
31,297,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg
32,270,32.3,11.2,9.9,Ayam ampela goreng,https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg
